"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;4;"—";288;"92 92 94";10;"Участвуете в конкурсе";1103251;"25.06.2026 в 05:22"
2;3;"—";284;"94 96 94";0;"На рассмотрении";1615930;"04.07.2026 в 16:30"
3;2;"—";282;"95 98 89";0;"На рассмотрении";1302657;"30.06.2026 в 09:53"
4;2;"—";282;"88 93 91";10;"Участвуете в конкурсе";1249200;"29.06.2026 в 21:28"
5;2;"—";280;"99 95 86";0;"Участвуете в конкурсе";1249316;"29.06.2026 в 21:29"
6;1;"—";280;"92 88 100";0;"На рассмотрении";1599392;"04.07.2026 в 11:27"
7;3;"—";280;"96 93 81";10;"На рассмотрении";1259561;"29.06.2026 в 21:42"
8;5;"Электронное";279;"84 96 89";10;"На рассмотрении";1187743;"28.06.2026 в 11:19"
9;1;"—";278;"97 100 81";0;"На рассмотрении";1339041;"30.06.2026 в 15:45"
10;2;"—";277;"96 90 91";0;"На рассмотрении";1502185;"02.07.2026 в 17:15"
11;1;"—";276;"92 90 94";0;"На рассмотрении";1216782;"02.07.2026 в 09:35"
12;2;"—";276;"92 95 89";0;"На рассмотрении";1301715;"01.07.2026 в 07:39"
13;3;"—";276;"95 93 78";10;"На рассмотрении";1179689;"27.06.2026 в 21:30"
14;3;"—";275;"94 100 81";0;"Участвуете в конкурсе";1314767;"30.06.2026 в 11:59"
15;1;"—";275;"97 95 83";0;"На рассмотрении";1346548;"30.06.2026 в 17:15"
16;4;"—";275;"98 96 81";0;"Участвуете в конкурсе";1377546;"01.07.2026 в 09:43"
17;2;"—";275;"92 83 100";0;"На рассмотрении";1576806;"04.07.2026 в 12:56"
18;3;"—";274;"97 88 89";0;"На рассмотрении";1183549;"28.06.2026 в 07:00"
19;2;"—";274;"88 95 91";0;"На рассмотрении";1196443;"01.07.2026 в 14:13"
20;3;"—";274;"95 93 86";0;"Участвуете в конкурсе";1376252;"01.07.2026 в 09:25"
21;3;"Электронное";274;"82 85 97";10;"Участвуете в конкурсе";1010249;"22.06.2026 в 08:49"
22;3;"—";274;"88 85 91";10;"На рассмотрении";1254831;"29.06.2026 в 21:35"
23;1;"—";273;"94 93 86";0;"На рассмотрении";1318853;"30.06.2026 в 12:37"
24;5;"—";273;"95 95 83";0;"Участвуете в конкурсе";1339302;"30.06.2026 в 15:48"
25;2;"—";273;"94 96 83";0;"Участвуете в конкурсе";1466848;"02.07.2026 в 11:30"
26;3;"—";272;"96 93 83";0;"На рассмотрении";1118333;"03.07.2026 в 20:23"
27;4;"—";272;"95 94 83";0;"На рассмотрении";1575961;"03.07.2026 в 19:01"
28;2;"—";271;"90 98 73";10;"Участвуете в конкурсе";1127260;"25.06.2026 в 16:48"
29;3;"—";271;"88 92 81";10;"Участвуете в конкурсе";1231001;"29.06.2026 в 21:10"
