"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;3;"—";300;"95 98 97";10;"Участвуете в конкурсе";1091323;"24.06.2026 в 13:07"
2;5;"—";288;"92 92 94";10;"Участвуете в конкурсе";1103251;"25.06.2026 в 05:22"
3;4;"Электронное";286;"95 98 83";10;"На рассмотрении";1508664;"02.07.2026 в 19:02"
4;4;"—";284;"94 96 94";0;"На рассмотрении";1615930;"04.07.2026 в 16:30"
5;3;"—";282;"95 98 89";0;"На рассмотрении";1302657;"30.06.2026 в 09:53"
6;3;"—";282;"88 93 91";10;"Участвуете в конкурсе";1249200;"29.06.2026 в 21:28"
7;4;"—";282;"94 95 83";10;"Участвуете в конкурсе";1276094;"29.06.2026 в 21:57"
8;3;"—";280;"92 88 100";0;"На рассмотрении";1599392;"04.07.2026 в 11:27"
9;5;"Электронное";279;"88 100 91";0;"На рассмотрении";956901;"20.06.2026 в 11:26"
10;2;"—";278;"97 100 81";0;"На рассмотрении";1339041;"30.06.2026 в 15:45"
11;3;"—";277;"96 90 91";0;"На рассмотрении";1502185;"02.07.2026 в 17:15"
12;2;"—";277;"92 92 83";10;"Участвуете в конкурсе";1081843;"24.06.2026 в 09:11"
13;2;"—";277;"86 90 91";10;"На рассмотрении";1264249;"29.06.2026 в 21:49"
14;3;"—";276;"92 90 94";0;"На рассмотрении";1216782;"02.07.2026 в 09:35"
15;3;"—";276;"92 95 89";0;"На рассмотрении";1301715;"01.07.2026 в 07:39"
16;2;"—";276;"95 93 78";10;"На рассмотрении";1179689;"27.06.2026 в 21:30"
17;1;"—";275;"94 100 81";0;"Участвуете в конкурсе";1314767;"30.06.2026 в 11:59"
18;2;"—";275;"97 95 83";0;"На рассмотрении";1346548;"30.06.2026 в 17:15"
19;4;"—";275;"92 83 100";0;"На рассмотрении";1576806;"04.07.2026 в 12:56"
20;2;"—";274;"97 88 89";0;"На рассмотрении";1183549;"28.06.2026 в 07:00"
21;3;"—";274;"88 95 91";0;"На рассмотрении";1196443;"01.07.2026 в 14:13"
22;1;"—";274;"95 93 86";0;"Участвуете в конкурсе";1376252;"01.07.2026 в 09:25"
23;2;"Электронное";274;"82 85 97";10;"Участвуете в конкурсе";1010249;"22.06.2026 в 08:49"
24;2;"—";274;"88 85 91";10;"На рассмотрении";1254831;"29.06.2026 в 21:35"
25;3;"—";273;"94 96 83";0;"Участвуете в конкурсе";1466848;"02.07.2026 в 11:30"
26;2;"—";272;"96 93 83";0;"На рассмотрении";1118333;"03.07.2026 в 20:23"
27;5;"—";272;"95 94 83";0;"На рассмотрении";1575961;"03.07.2026 в 19:01"
28;1;"—";272;"99 80 83";10;"На рассмотрении";1197509;"28.06.2026 в 15:27"
29;4;"—";271;"90 98 73";10;"Участвуете в конкурсе";1127260;"25.06.2026 в 16:48"
30;2;"—";271;"88 92 81";10;"Участвуете в конкурсе";1231001;"29.06.2026 в 21:10"
31;2;"—";270;"90 93 87";0;"На рассмотрении";978416;"02.07.2026 в 04:22"
