"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;4;"—";295;"99 100 86";10;"На рассмотрении";1243501;"29.06.2026 в 21:22"
2;1;"—";288;"92 92 94";10;"Участвуете в конкурсе";1103251;"25.06.2026 в 05:22"
3;5;"Электронное";286;"95 98 83";10;"На рассмотрении";1508664;"02.07.2026 в 19:02"
4;2;"—";282;"94 95 83";10;"Участвуете в конкурсе";1276094;"29.06.2026 в 21:57"
5;4;"—";281;"92 100 89";0;"Участвуете в конкурсе";1269189;"30.06.2026 в 16:51"
6;4;"—";280;"96 93 81";10;"На рассмотрении";1259561;"29.06.2026 в 21:42"
7;2;"—";279;"90 98 91";0;"На рассмотрении";1346112;"30.06.2026 в 17:09"
8;1;"—";279;"99 92 78";10;"На рассмотрении";1216967;"29.06.2026 в 04:54"
9;3;"—";278;"97 100 81";0;"На рассмотрении";1339041;"30.06.2026 в 15:45"
10;5;"—";277;"94 100 83";0;"На рассмотрении";1342374;"03.07.2026 в 23:02"
11;1;"—";277;"90 98 89";0;"На рассмотрении";1488137;"02.07.2026 в 14:44"
12;1;"—";277;"86 90 91";10;"На рассмотрении";1264249;"29.06.2026 в 21:49"
13;1;"—";276;"92 95 89";0;"На рассмотрении";1301715;"01.07.2026 в 07:39"
14;4;"—";276;"95 93 78";10;"На рассмотрении";1179689;"27.06.2026 в 21:30"
15;2;"—";276;"92 88 86";10;"Участвуете в конкурсе";1264504;"29.06.2026 в 21:49"
16;2;"—";275;"94 100 81";0;"Участвуете в конкурсе";1314767;"30.06.2026 в 11:59"
17;5;"—";275;"97 95 83";0;"На рассмотрении";1346548;"30.06.2026 в 17:15"
18;2;"—";275;"98 96 81";0;"Участвуете в конкурсе";1377546;"01.07.2026 в 09:43"
19;1;"—";275;"92 83 100";0;"На рассмотрении";1576806;"04.07.2026 в 12:56"
20;2;"—";275;"90 86 89";10;"Участвуете в конкурсе";1186846;"28.06.2026 в 10:48"
21;4;"—";274;"97 88 89";0;"На рассмотрении";1183549;"28.06.2026 в 07:00"
22;4;"—";274;"95 93 86";0;"Участвуете в конкурсе";1376252;"01.07.2026 в 09:25"
23;2;"—";274;"84 86 100";4;"На рассмотрении";1174026;"27.06.2026 в 17:05"
24;5;"—";274;"88 85 91";10;"На рассмотрении";1254831;"29.06.2026 в 21:35"
25;5;"—";273;"86 98 89";0;"На рассмотрении";1155876;"03.07.2026 в 17:39"
26;2;"—";273;"94 93 86";0;"На рассмотрении";1318853;"30.06.2026 в 12:37"
27;2;"—";272;"90 88 94";0;"Участвуете в конкурсе";1398797;"01.07.2026 в 13:08"
28;1;"—";271;"86 84 91";10;"На рассмотрении";1173834;"27.06.2026 в 16:57"
29;5;"—";271;"88 92 81";10;"Участвуете в конкурсе";1231001;"29.06.2026 в 21:10"
30;4;"—";270;"86 88 86";10;"На рассмотрении";1253862;"29.06.2026 в 21:34"
31;4;"—";269;"84 96 89";0;"На рассмотрении";1234764;"29.06.2026 в 21:12"
32;2;"—";269;"84 94 91";0;"Передано в вуз";1463600;"05.07.2026 в 08:44"
33;3;"—";269;"82 83 94";10;"На рассмотрении";1240870;"29.06.2026 в 21:19"
34;2;"—";269;"90 88 81";10;"На рассмотрении";1261054;"29.06.2026 в 21:44"
35;3;"—";268;"82 92 94";0;"Участвуете в конкурсе";1385749;"01.07.2026 в 11:11"
36;5;"—";268;"92 98 78";0;"На рассмотрении";1472034;"02.07.2026 в 12:21"
37;5;"—";268;"94 96 78";0;"На рассмотрении";1576917;"03.07.2026 в 19:07"
38;2;"—";268;"95 90 83";0;"Передано в вуз";1635212;"05.07.2026 в 13:04"
39;3;"—";267;"88 93 86";0;"На рассмотрении";1423596;"01.07.2026 в 17:10"
40;4;"—";267;"80 90 97";0;"На рассмотрении";1589342;"04.07.2026 в 07:36"
41;5;"—";267;"88 88 81";10;"Участвуете в конкурсе";1234652;"29.06.2026 в 21:12"
