"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;2;"—";300;"95 98 97";10;"Участвуете в конкурсе";1091323;"24.06.2026 в 13:07"
2;3;"—";288;"88 100 100";0;"На рассмотрении";1340351;"30.06.2026 в 15:59"
3;3;"—";288;"92 92 94";10;"Участвуете в конкурсе";1103251;"25.06.2026 в 05:22"
4;3;"Электронное";286;"95 98 83";10;"На рассмотрении";1508664;"02.07.2026 в 19:02"
5;1;"—";284;"94 96 94";0;"На рассмотрении";1615930;"04.07.2026 в 16:30"
6;1;"—";282;"95 98 89";0;"На рассмотрении";1302657;"30.06.2026 в 09:53"
7;1;"—";282;"99 92 91";0;"Участвуете в конкурсе";1317363;"30.06.2026 в 12:23"
8;1;"—";282;"88 93 91";10;"Участвуете в конкурсе";1249200;"29.06.2026 в 21:28"
9;1;"—";282;"94 95 83";10;"Участвуете в конкурсе";1276094;"29.06.2026 в 21:57"
10;5;"Электронное";280;"86 100 94";0;"На рассмотрении";961003;"20.06.2026 в 12:13"
11;1;"—";280;"99 95 86";0;"Участвуете в конкурсе";1249316;"29.06.2026 в 21:29"
12;2;"—";280;"92 88 100";0;"На рассмотрении";1599392;"04.07.2026 в 11:27"
13;2;"—";280;"96 93 81";10;"На рассмотрении";1259561;"29.06.2026 в 21:42"
14;2;"—";279;"99 92 78";10;"На рассмотрении";1216967;"29.06.2026 в 04:54"
15;2;"—";277;"90 98 89";0;"На рассмотрении";1488137;"02.07.2026 в 14:44"
16;1;"—";277;"96 90 91";0;"На рассмотрении";1502185;"02.07.2026 в 17:15"
17;1;"—";277;"92 92 83";10;"Участвуете в конкурсе";1081843;"24.06.2026 в 09:11"
18;4;"—";277;"86 90 91";10;"На рассмотрении";1264249;"29.06.2026 в 21:49"
19;2;"—";276;"92 90 94";0;"На рассмотрении";1216782;"02.07.2026 в 09:35"
20;4;"—";276;"92 95 89";0;"На рассмотрении";1301715;"01.07.2026 в 07:39"
21;1;"—";276;"99 88 89";0;"На рассмотрении";1560379;"03.07.2026 в 17:50"
22;1;"—";276;"95 93 78";10;"На рассмотрении";1179689;"27.06.2026 в 21:30"
23;1;"—";276;"92 88 86";10;"Участвуете в конкурсе";1264504;"29.06.2026 в 21:49"
24;4;"—";275;"97 95 83";0;"На рассмотрении";1346548;"30.06.2026 в 17:15"
25;1;"—";275;"98 96 81";0;"Участвуете в конкурсе";1377546;"01.07.2026 в 09:43"
26;3;"—";275;"95 94 86";0;"Участвуете в конкурсе";1394058;"01.07.2026 в 12:26"
27;1;"—";274;"97 88 89";0;"На рассмотрении";1183549;"28.06.2026 в 07:00"
28;1;"—";274;"88 95 91";0;"На рассмотрении";1196443;"01.07.2026 в 14:13"
29;2;"—";274;"95 93 86";0;"Участвуете в конкурсе";1376252;"01.07.2026 в 09:25"
30;1;"Электронное";274;"82 85 97";10;"Участвуете в конкурсе";1010249;"22.06.2026 в 08:49"
31;1;"—";274;"88 85 91";10;"На рассмотрении";1254831;"29.06.2026 в 21:35"
32;1;"—";273;"94 96 83";0;"Участвуете в конкурсе";1466848;"02.07.2026 в 11:30"
33;1;"—";272;"96 93 83";0;"На рассмотрении";1118333;"03.07.2026 в 20:23"
34;1;"—";272;"95 94 83";0;"На рассмотрении";1575961;"03.07.2026 в 19:01"
35;5;"—";271;"84 98 89";0;"На рассмотрении";1584415;"03.07.2026 в 22:45"
36;5;"—";271;"90 98 73";10;"Участвуете в конкурсе";1127260;"25.06.2026 в 16:48"
37;1;"—";271;"88 92 81";10;"Участвуете в конкурсе";1231001;"29.06.2026 в 21:10"
38;1;"—";270;"90 93 87";0;"На рассмотрении";978416;"02.07.2026 в 04:22"
39;1;"—";270;"100 98 72";0;"На рассмотрении";1432377;"01.07.2026 в 19:31"
40;3;"—";270;"86 88 86";10;"На рассмотрении";1253862;"29.06.2026 в 21:34"
41;4;"—";269;"84 96 89";0;"Конкурсная группа исключена";1234764;"29.06.2026 в 21:12"
42;2;"—";269;"92 88 89";0;"Участвуете в конкурсе";1396695;"01.07.2026 в 12:49"
43;2;"—";269;"82 83 94";10;"На рассмотрении";1240870;"29.06.2026 в 21:19"
44;1;"—";269;"90 88 81";10;"На рассмотрении";1261054;"29.06.2026 в 21:44"
45;4;"—";268;"82 92 94";0;"Участвуете в конкурсе";1385749;"01.07.2026 в 11:11"
46;4;"—";268;"92 98 78";0;"На рассмотрении";1472034;"02.07.2026 в 12:21"
47;1;"—";268;"78 95 85";10;"На рассмотрении";1007326;"23.06.2026 в 11:41"
48;1;"—";268;"88 95 75";10;"На рассмотрении";1136548;"26.06.2026 в 08:46"
49;2;"—";267;"88 93 86";0;"На рассмотрении";1423596;"01.07.2026 в 17:10"
50;1;"—";267;"88 88 81";10;"Участвуете в конкурсе";1234652;"29.06.2026 в 21:12"
51;1;"—";266;"88 92 86";0;"На рассмотрении";978877;"20.06.2026 в 18:01"
52;1;"—";266;"95 85 86";0;"На рассмотрении";1236588;"29.06.2026 в 21:15"
53;2;"—";266;"88 95 83";0;"На рассмотрении";1237188;"03.07.2026 в 16:16"
54;1;"—";266;"84 93 89";0;"На рассмотрении";1265358;"29.06.2026 в 21:50"
55;4;"—";266;"84 88 94";0;"На рассмотрении";1346866;"30.06.2026 в 17:20"
56;1;"—";266;"88 92 86";0;"Передано в вуз";1638504;"05.07.2026 в 14:36"
57;1;"—";266;"82 85 89";10;"На рассмотрении";1300956;"30.06.2026 в 09:28"
58;1;"—";265;"84 93 78";10;"На рассмотрении";1205036;"28.06.2026 в 18:37"
59;1;"—";264;"90 88 86";0;"На рассмотрении";1223895;"29.06.2026 в 21:04"
60;2;"—";264;"88 93 83";0;"На рассмотрении";1350327;"30.06.2026 в 18:13"
61;2;"—";264;"98 85 81";0;"На рассмотрении";1573179;"03.07.2026 в 18:46"
62;1;"—";264;"96 90 78";0;"На рассмотрении";1606453;"04.07.2026 в 13:15"
63;1;"—";264;"82 78 94";10;"На рассмотрении";1173234;"27.06.2026 в 16:31"
64;3;"—";264;"90 78 86";10;"На рассмотрении";1248476;"29.06.2026 в 21:28"
65;2;"Электронное";264;"86 98 70";10;"На рассмотрении";1287811;"29.06.2026 в 22:21"
66;1;"—";263;"84 90 89";0;"Конкурсная группа исключена";1373204;"01.07.2026 в 15:21"
67;5;"—";263;"84 90 89";0;"На рассмотрении";1450940;"02.07.2026 в 07:57"
68;2;"Электронное";263;"90 84 89";0;"На рассмотрении";1488114;"02.07.2026 в 14:44"
69;5;"—";263;"94 80 89";0;"На рассмотрении";1588548;"04.07.2026 в 06:35"
70;3;"—";263;"90 92 81";0;"На рассмотрении";1608726;"04.07.2026 в 14:48"
71;4;"Электронное";263;"74 90 89";10;"На рассмотрении";1040856;"28.06.2026 в 13:53"
72;2;"—";263;"88 79 86";10;"Конкурсная группа исключена";1233618;"29.06.2026 в 21:12"
73;4;"—";263;"84 83 86";10;"На рассмотрении";1245971;"29.06.2026 в 21:25"
74;3;"—";263;"84 88 81";10;"На рассмотрении";1254832;"29.06.2026 в 21:35"
