"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;5;"—";300;"95 98 97";10;"Участвуете в конкурсе";1091323;"24.06.2026 в 13:07"
2;2;"—";288;"92 92 94";10;"Участвуете в конкурсе";1103251;"25.06.2026 в 05:22"
3;3;"—";282;"94 95 83";10;"Участвуете в конкурсе";1276094;"29.06.2026 в 21:57"
4;5;"—";276;"95 93 78";10;"На рассмотрении";1179689;"27.06.2026 в 21:30"
5;4;"—";275;"94 100 81";0;"Участвуете в конкурсе";1314767;"30.06.2026 в 11:59"
6;3;"—";275;"97 95 83";0;"На рассмотрении";1346548;"30.06.2026 в 17:15"
7;3;"—";275;"98 96 81";0;"Участвуете в конкурсе";1377546;"01.07.2026 в 09:43"
8;3;"—";275;"92 83 100";0;"На рассмотрении";1576806;"04.07.2026 в 12:56"
9;5;"—";274;"95 93 86";0;"Участвуете в конкурсе";1376252;"01.07.2026 в 09:25"
10;4;"Электронное";274;"82 85 97";10;"Участвуете в конкурсе";1010249;"22.06.2026 в 08:49"
11;4;"—";274;"88 85 91";10;"На рассмотрении";1254831;"29.06.2026 в 21:35"
12;3;"—";273;"94 93 86";0;"На рассмотрении";1318853;"30.06.2026 в 12:37"
13;3;"—";272;"90 88 94";0;"Участвуете в конкурсе";1398797;"01.07.2026 в 13:08"
14;1;"—";270;"94 85 91";0;"Участвуете в конкурсе";1428225;"01.07.2026 в 18:19"
15;5;"—";270;"86 88 86";10;"На рассмотрении";1253862;"29.06.2026 в 21:34"
16;5;"—";269;"82 83 94";10;"На рассмотрении";1240870;"29.06.2026 в 21:19"
17;5;"—";269;"90 88 81";10;"На рассмотрении";1261054;"29.06.2026 в 21:44"
18;5;"—";268;"88 95 75";10;"На рассмотрении";1136548;"26.06.2026 в 08:46"
19;1;"—";267;"80 90 97";0;"На рассмотрении";1389643;"04.07.2026 в 08:52"
20;5;"—";267;"88 93 86";0;"На рассмотрении";1423596;"01.07.2026 в 17:10"
21;4;"—";267;"88 88 81";10;"Участвуете в конкурсе";1234652;"29.06.2026 в 21:12"
22;2;"—";266;"84 93 89";0;"На рассмотрении";1265358;"29.06.2026 в 21:50"
23;5;"—";266;"84 88 94";0;"На рассмотрении";1346866;"30.06.2026 в 17:20"
24;3;"—";265;"84 93 78";10;"На рассмотрении";1205036;"28.06.2026 в 18:37"
25;2;"—";264;"88 90 86";0;"На рассмотрении";1506989;"02.07.2026 в 18:31"
26;5;"—";264;"96 90 78";0;"На рассмотрении";1606453;"04.07.2026 в 13:15"
27;5;"—";264;"90 78 86";10;"На рассмотрении";1248476;"29.06.2026 в 21:28"
28;4;"Электронное";263;"90 84 89";0;"На рассмотрении";1488114;"02.07.2026 в 14:44"
29;2;"Электронное";263;"74 90 89";10;"На рассмотрении";1040856;"28.06.2026 в 13:53"
30;5;"—";263;"84 83 86";10;"На рассмотрении";1245971;"29.06.2026 в 21:25"
31;4;"—";262;"88 88 86";0;"На рассмотрении";1346168;"03.07.2026 в 20:26"
32;5;"—";262;"90 79 83";10;"На рассмотрении";1263648;"29.06.2026 в 21:48"
33;3;"Электронное";261;"84 88 89";0;"Участвуете в конкурсе";1171619;"27.06.2026 в 15:23"
34;1;"—";261;"80 74 97";10;"На рассмотрении";1266918;"29.06.2026 в 21:52"
35;4;"—";260;"76 95 89";0;"На рассмотрении";1294316;"02.07.2026 в 14:50"
36;5;"—";260;"94 93 73";0;"На рассмотрении";1301370;"02.07.2026 в 16:19"
37;5;"—";260;"94 80 86";0;"На рассмотрении";1577629;"03.07.2026 в 19:22"
38;2;"—";259;"94 95 70";0;"На рассмотрении";1022300;"02.07.2026 в 15:36"
39;2;"—";259;"92 76 91";0;"Участвуете в конкурсе";1452069;"02.07.2026 в 08:29"
40;5;"Электронное";259;"86 90 83";0;"На рассмотрении";1455621;"02.07.2026 в 09:35"
41;3;"Электронное";258;"92 85 81";0;"На рассмотрении";1259728;"29.06.2026 в 21:42"
42;2;"—";258;"84 88 86";0;"На рассмотрении";1358508;"30.06.2026 в 20:44"
43;2;"—";258;"84 83 91";0;"На рассмотрении";1478697;"02.07.2026 в 13:18"
44;2;"—";258;"90 85 83";0;"На рассмотрении";1524873;"03.07.2026 в 06:41"
45;5;"—";257;"84 90 83";0;"На рассмотрении";1218169;"01.07.2026 в 18:47"
46;4;"—";257;"92 95 70";0;"На рассмотрении";1385051;"01.07.2026 в 11:04"
47;5;"—";257;"84 90 83";0;"На рассмотрении";1601501;"04.07.2026 в 11:57"
48;5;"—";257;"86 83 78";10;"На рассмотрении";1223081;"29.06.2026 в 21:04"
49;5;"—";257;"78 83 86";10;"На рассмотрении";1254957;"30.06.2026 в 08:20"
50;1;"—";256;"95 88 73";0;"На рассмотрении";1190764;"28.06.2026 в 12:47"
51;3;"—";256;"80 90 86";0;"На рассмотрении";1378627;"01.07.2026 в 09:57"
52;5;"—";256;"94 90 72";0;"На рассмотрении";1509835;"02.07.2026 в 19:25"
53;5;"—";256;"80 90 86";0;"На рассмотрении";1590818;"04.07.2026 в 08:47"
54;3;"—";256;"95 83 78";0;"На рассмотрении";1628024;"05.07.2026 в 00:57"
55;3;"—";256;"88 85 83";0;"Передано в вуз";1632536;"05.07.2026 в 11:29"
56;4;"—";256;"84 71 91";10;"На рассмотрении";1203542;"28.06.2026 в 17:55"
57;5;"—";255;"86 88 81";0;"На рассмотрении";1286299;"03.07.2026 в 20:53"
58;3;"—";255;"86 83 86";0;"На рассмотрении";1367250;"01.07.2026 в 01:01"
59;2;"—";255;"88 76 91";0;"На рассмотрении";1422327;"01.07.2026 в 16:53"
60;2;"—";255;"88 86 81";0;"На рассмотрении";1591713;"04.07.2026 в 09:14"
61;3;"—";255;"86 83 86";0;"На рассмотрении";1602251;"05.07.2026 в 07:06"
62;5;"—";255;"86 85 81";3;"На рассмотрении";1188294;"28.06.2026 в 11:36"
