"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;5;"—";295;"96 98 91";10;"Участвуете в конкурсе";1324026;"30.06.2026 в 13:31"
2;5;"—";294;"95 93 100";6;"Участвуете в конкурсе";1244814;"29.06.2026 в 21:23"
3;6;"—";293;"97 98 91";7;"На рассмотрении";1520302;"02.07.2026 в 23:24"
4;3;"—";292;"96 98 97";1;"На рассмотрении";1580750;"04.07.2026 в 18:06"
5;5;"—";292;"97 95 94";6;"Участвуете в конкурсе";975709;"20.06.2026 в 16:22"
6;7;"—";292;"94 95 97";6;"На рассмотрении";1581196;"03.07.2026 в 20:58"
7;4;"—";291;"97 100 94";0;"Передано в вуз";1630066;"05.07.2026 в 08:57"
8;2;"Электронное";291;"95 100 86";10;"Участвуете в конкурсе";1184243;"28.06.2026 в 08:23"
9;2;"—";290;"90 100 100";0;"На рассмотрении";1518293;"02.07.2026 в 22:26"
10;4;"—";290;"96 98 91";5;"На рассмотрении";1581283;"04.07.2026 в 09:50"
11;5;"—";290;"96 90 97";7;"Участвуете в конкурсе";1399916;"01.07.2026 в 13:35"
12;5;"—";289;"92 100 97";0;"На рассмотрении";1521418;"03.07.2026 в 00:10"
13;4;"—";287;"92 95 94";6;"Участвуете в конкурсе";1430310;"01.07.2026 в 18:54"
14;3;"—";287;"94 95 91";7;"Участвуете в конкурсе";1170163;"27.06.2026 в 14:45"
15;1;"—";287;"96 95 89";7;"Участвуете в конкурсе";1288647;"29.06.2026 в 22:37"
16;5;"—";287;"100 83 94";10;"Участвуете в конкурсе";1201283;"28.06.2026 в 16:55"
17;6;"—";286;"95 94 91";6;"Участвуете в конкурсе";1198292;"30.06.2026 в 00:44"
18;4;"—";285;"99 96 89";1;"Участвуете в конкурсе";1352243;"01.07.2026 в 17:24"
19;4;"—";284;"95 100 89";0;"Участвуете в конкурсе";1257598;"29.06.2026 в 21:39"
20;6;"—";284;"97 98 89";0;"На рассмотрении";1431898;"03.07.2026 в 20:16"
21;1;"—";283;"94 98 91";0;"Участвуете в конкурсе";1350760;"30.06.2026 в 18:20"
22;5;"—";283;"96 96 91";0;"На рассмотрении";1507944;"02.07.2026 в 18:49"
23;7;"—";283;"94 100 83";6;"На рассмотрении";1342374;"02.07.2026 в 18:09"
24;4;"—";283;"100 85 91";7;"На рассмотрении";1267657;"29.06.2026 в 21:53"
25;2;"—";282;"90 98 94";0;"Участвуете в конкурсе";1409211;"01.07.2026 в 14:41"
26;4;"—";282;"92 92 91";7;"Участвуете в конкурсе";1171729;"27.06.2026 в 15:26"
27;6;"—";282;"86 98 91";7;"На рассмотрении";1345355;"04.07.2026 в 16:32"
28;2;"—";282;"96 95 83";8;"Участвуете в конкурсе";1195073;"28.06.2026 в 14:29"
29;6;"—";282;"88 93 91";10;"Участвуете в конкурсе";1249200;"29.06.2026 в 21:28"
30;3;"—";281;"97 95 89";0;"Участвуете в конкурсе";1438245;"01.07.2026 в 21:19"
31;3;"—";281;"86 88 100";7;"Участвуете в конкурсе";1429204;"01.07.2026 в 18:35"
32;5;"—";280;"95 88 97";0;"На рассмотрении";1328526;"03.07.2026 в 18:43"
33;4;"—";280;"97 88 94";1;"На рассмотрении";1472422;"02.07.2026 в 12:22"
34;4;"—";280;"90 95 89";6;"Участвуете в конкурсе";1266574;"29.06.2026 в 21:52"
35;2;"—";280;"86 93 94";7;"Участвуете в конкурсе";1337769;"30.06.2026 в 15:32"
36;3;"—";279;"95 95 89";0;"На рассмотрении";1494321;"02.07.2026 в 15:44"
37;3;"—";279;"100 90 89";0;"На рассмотрении";1519860;"02.07.2026 в 23:08"
38;4;"—";278;"95 94 89";0;"Участвуете в конкурсе";1386717;"01.07.2026 в 11:19"
39;1;"—";278;"99 90 89";0;"На рассмотрении";1408053;"02.07.2026 в 19:38"
40;5;"—";278;"97 98 83";0;"Передано в вуз";1533241;"05.07.2026 в 13:38"
41;4;"—";278;"94 93 91";0;"На рассмотрении";1617578;"04.07.2026 в 17:15"
42;3;"—";278;"86 95 91";6;"Участвуете в конкурсе";1423344;"01.07.2026 в 17:06"
43;3;"—";278;"88 98 86";6;"Участвуете в конкурсе";1428301;"01.07.2026 в 18:21"
44;3;"—";277;"90 98 89";0;"На рассмотрении";1503956;"04.07.2026 в 12:55"
45;2;"—";277;"95 88 94";0;"На рассмотрении";1561792;"03.07.2026 в 17:57"
46;7;"—";277;"92 94 91";0;"Передано в вуз";1632848;"05.07.2026 в 11:42"
47;4;"—";277;"90 95 91";1;"На рассмотрении";1514469;"02.07.2026 в 20:57"
48;2;"—";277;"92 88 91";6;"Участвуете в конкурсе";1184363;"28.06.2026 в 08:35"
49;3;"—";277;"84 93 94";6;"Участвуете в конкурсе";1442038;"01.07.2026 в 22:39"
50;1;"—";277;"92 100 75";10;"На рассмотрении";1193557;"28.06.2026 в 13:54"
51;3;"—";276;"94 96 86";0;"Участвуете в конкурсе";1178860;"29.06.2026 в 22:04"
52;7;"—";276;"92 93 91";0;"На рассмотрении";1592508;"04.07.2026 в 09:31"
53;1;"—";276;"99 88 89";0;"На рассмотрении";1623299;"04.07.2026 в 20:29"
54;4;"—";275;"96 98 81";0;"Конкурсная группа исключена";1212062;"02.07.2026 в 14:59"
55;5;"—";275;"94 95 86";0;"Участвуете в конкурсе";1454148;"02.07.2026 в 09:14"
56;6;"Электронное";275;"88 98 83";6;"Участвуете в конкурсе";1279350;"03.07.2026 в 07:55"
57;4;"—";275;"98 80 91";6;"На рассмотрении";1583302;"03.07.2026 в 22:05"
58;3;"—";273;"86 93 94";0;"Участвуете в конкурсе";1284911;"29.06.2026 в 22:02"
59;3;"—";273;"84 95 94";0;"Участвуете в конкурсе";1398817;"01.07.2026 в 13:08"
60;4;"Электронное";273;"86 83 97";7;"Участвуете в конкурсе";1232023;"29.06.2026 в 21:11"
61;5;"—";273;"92 88 83";10;"Участвуете в конкурсе";1205545;"28.06.2026 в 18:51"
62;6;"—";273;"94 88 81";10;"Участвуете в конкурсе";1273624;"29.06.2026 в 21:56"
63;4;"—";272;"95 88 89";0;"На рассмотрении";1391829;"02.07.2026 в 18:09"
64;3;"—";272;"95 88 89";0;"Участвуете в конкурсе";1438101;"01.07.2026 в 21:16"
65;2;"—";272;"90 98 78";6;"Участвуете в конкурсе";1355541;"30.06.2026 в 19:44"
66;5;"—";272;"86 82 94";10;"Участвуете в конкурсе";1436752;"01.07.2026 в 20:50"
67;6;"—";271;"92 93 86";0;"Конкурсная группа исключена";947162;"21.06.2026 в 00:11"
68;6;"—";271;"90 90 91";0;"На рассмотрении";1526244;"03.07.2026 в 07:46"
69;3;"—";271;"86 98 86";1;"Участвуете в конкурсе";1408154;"01.07.2026 в 14:31"
70;2;"—";271;"92 100 78";1;"На рассмотрении";1554856;"03.07.2026 в 21:02"
71;3;"—";271;"84 95 86";6;"Участвуете в конкурсе";1366980;"01.07.2026 в 00:41"
72;1;"Электронное";270;"86 90 94";0;"Участвуете в конкурсе";1174598;"01.07.2026 в 13:56"
73;5;"—";270;"96 85 89";0;"На рассмотрении";1264954;"02.07.2026 в 10:56"
74;4;"—";270;"94 90 86";0;"Передано в вуз";1630496;"05.07.2026 в 09:37"
75;1;"—";270;"90 88 86";6;"Участвуете в конкурсе";1314593;"30.06.2026 в 11:57"
76;6;"Электронное";270;"94 96 73";7;"Участвуете в конкурсе";1205035;"28.06.2026 в 18:37"
77;2;"—";270;"84 90 89";7;"Участвуете в конкурсе";1373204;"01.07.2026 в 15:21"
78;1;"Электронное";269;"90 93 86";0;"Участвуете в конкурсе";1199544;"29.06.2026 в 21:08"
79;4;"Электронное";269;"90 88 91";0;"Участвуете в конкурсе";1236469;"29.06.2026 в 21:14"
80;4;"—";269;"95 88 86";0;"На рассмотрении";1342817;"02.07.2026 в 16:56"
81;6;"—";269;"90 98 81";0;"На рассмотрении";1373770;"02.07.2026 в 12:34"
82;5;"—";269;"92 88 89";0;"Участвуете в конкурсе";1396695;"01.07.2026 в 12:49"
83;4;"—";269;"82 98 89";0;"На рассмотрении";1507233;"02.07.2026 в 18:36"
84;1;"—";269;"84 96 89";0;"На рассмотрении";1555322;"03.07.2026 в 17:21"
85;6;"—";269;"82 90 97";0;"На рассмотрении";1603637;"04.07.2026 в 12:29"
86;7;"—";269;"82 93 94";0;"На рассмотрении";1616298;"04.07.2026 в 16:40"
87;5;"—";269;"86 93 83";7;"Участвуете в конкурсе";1447289;"02.07.2026 в 04:18"
88;3;"—";268;"86 88 94";0;"На рассмотрении";1267157;"29.06.2026 в 21:52"
89;5;"—";268;"92 95 81";0;"Участвуете в конкурсе";1386463;"01.07.2026 в 11:17"
90;5;"—";268;"90 92 86";0;"Передано в вуз";1481045;"05.07.2026 в 14:57"
91;4;"—";268;"94 95 78";1;"Участвуете в конкурсе";1239792;"29.06.2026 в 21:18"
92;6;"—";268;"88 93 86";1;"На рассмотрении";1579001;"03.07.2026 в 19:57"
93;7;"—";268;"84 90 89";5;"Участвуете в конкурсе";1385389;"01.07.2026 в 11:07"
94;6;"—";268;"86 93 83";6;"Участвуете в конкурсе";1275273;"29.06.2026 в 21:57"
95;6;"—";268;"82 83 97";6;"Участвуете в конкурсе";1360566;"30.06.2026 в 21:26"
96;4;"Электронное";268;"80 90 91";7;"Участвуете в конкурсе";1325061;"30.06.2026 в 13:42"
97;2;"—";267;"100 80 87";0;"Участвуете в конкурсе";948653;"20.06.2026 в 09:55"
98;6;"—";267;"88 88 91";0;"На рассмотрении";1604469;"04.07.2026 в 12:43"
99;2;"Электронное";267;"88 93 86";0;"На рассмотрении";1618942;"04.07.2026 в 17:55"
100;1;"Электронное";267;"88 95 83";1;"Участвуете в конкурсе";1299065;"30.06.2026 в 08:54"
101;1;"—";267;"82 95 89";1;"На рассмотрении";1586859;"04.07.2026 в 01:10"
102;6;"—";267;"95 90 81";1;"На рассмотрении";1626807;"04.07.2026 в 23:14"
103;4;"—";267;"80 98 83";6;"Участвуете в конкурсе";1188418;"28.06.2026 в 11:40"
104;3;"Электронное";267;"90 80 91";6;"Участвуете в конкурсе";1318179;"30.06.2026 в 12:30"
105;2;"—";267;"90 90 81";6;"Участвуете в конкурсе";1359083;"30.06.2026 в 20:55"
106;5;"—";267;"86 88 86";7;"Участвуете в конкурсе";1327585;"30.06.2026 в 17:54"
107;4;"—";266;"97 88 81";0;"Участвуете в конкурсе";997051;"21.06.2026 в 15:40"
108;1;"—";266;"97 88 81";0;"Участвуете в конкурсе";1286267;"30.06.2026 в 13:29"
109;6;"—";266;"90 85 91";0;"Участвуете в конкурсе";1428621;"01.07.2026 в 18:26"
110;5;"—";266;"98 85 83";0;"На рассмотрении";1445477;"02.07.2026 в 00:38"
111;7;"—";266;"90 90 86";0;"На рассмотрении";1598750;"04.07.2026 в 11:17"
112;5;"—";266;"90 93 78";5;"Участвуете в конкурсе";1126213;"25.06.2026 в 18:08"
