"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;1;"—";239;"Без вступительных испытаний";0;"Участвуете в конкурсе";1436799;"01.07.2026 в 20:51"
2;4;"—";294;"95 100 89";10;"Участвуете в конкурсе";1440074;"01.07.2026 в 21:55"
3;7;"—";293;"97 98 91";7;"На рассмотрении";1520302;"02.07.2026 в 23:24"
4;3;"—";292;"100 98 94";0;"На рассмотрении";1606787;"04.07.2026 в 13:21"
5;2;"—";292;"96 98 97";1;"На рассмотрении";1580750;"04.07.2026 в 18:06"
6;2;"—";290;"99 100 91";0;"На рассмотрении";1502041;"03.07.2026 в 19:26"
7;5;"—";290;"96 98 91";5;"На рассмотрении";1581283;"04.07.2026 в 09:50"
8;1;"—";289;"98 94 91";6;"Участвуете в конкурсе";986609;"23.06.2026 в 15:22"
9;2;"—";288;"100 93 86";9;"Участвуете в конкурсе";1256611;"29.06.2026 в 21:38"
10;3;"—";288;"94 90 94";10;"Участвуете в конкурсе";1250632;"29.06.2026 в 21:30"
11;2;"—";287;"92 98 97";0;"На рассмотрении";1534466;"03.07.2026 в 10:20"
12;8;"—";287;"100 83 94";10;"Участвуете в конкурсе";1201283;"28.06.2026 в 16:55"
13;2;"—";285;"100 98 86";1;"На рассмотрении";1178382;"02.07.2026 в 22:41"
14;6;"—";283;"96 96 91";0;"На рассмотрении";1507944;"02.07.2026 в 18:49"
15;4;"—";283;"100 100 83";0;"Передано в вуз";1636308;"05.07.2026 в 13:35"
16;4;"—";281;"96 96 83";6;"Участвуете в конкурсе";1317844;"30.06.2026 в 12:28"
17;7;"—";280;"97 88 94";1;"На рассмотрении";1472422;"02.07.2026 в 12:22"
18;3;"—";280;"94 93 86";7;"Участвуете в конкурсе";1318853;"30.06.2026 в 12:37"
19;1;"—";279;"95 95 89";0;"На рассмотрении";1494321;"02.07.2026 в 15:44"
20;2;"—";279;"100 88 91";0;"Передано в вуз";1629285;"05.07.2026 в 07:36"
21;2;"Электронное";279;"92 93 94";0;"Передано в вуз";1636380;"05.07.2026 в 13:37"
22;2;"—";279;"100 100 78";1;"Передано в вуз";1405887;"05.07.2026 в 13:31"
23;5;"—";279;"92 95 91";1;"На рассмотрении";1627815;"05.07.2026 в 00:33"
24;1;"—";278;"99 88 91";0;"Участвуете в конкурсе";1186907;"28.06.2026 в 10:51"
25;3;"—";278;"88 90 94";6;"Участвуете в конкурсе";1326404;"30.06.2026 в 13:56"
26;7;"—";278;"86 95 91";6;"Участвуете в конкурсе";1423344;"01.07.2026 в 17:06"
27;4;"—";277;"96 98 83";0;"Участвуете в конкурсе";1093386;"29.06.2026 в 21:38"
28;1;"—";277;"92 88 91";6;"Участвуете в конкурсе";1184363;"28.06.2026 в 08:35"
29;4;"—";276;"94 96 86";0;"Участвуете в конкурсе";1178860;"29.06.2026 в 22:04"
30;6;"—";276;"92 93 91";0;"На рассмотрении";1592508;"04.07.2026 в 09:31"
31;1;"—";276;"88 98 89";1;"Передано в вуз";1632012;"05.07.2026 в 11:05"
32;2;"—";275;"92 100 83";0;"Участвуете в конкурсе";1269485;"01.07.2026 в 18:35"
33;3;"—";275;"88 93 94";0;"На рассмотрении";1565220;"03.07.2026 в 18:11"
34;3;"—";275;"96 93 86";0;"На рассмотрении";1574054;"03.07.2026 в 18:50"
35;1;"—";275;"92 95 78";10;"Участвуете в конкурсе";1078179;"24.06.2026 в 00:46"
36;1;"—";274;"97 96 81";0;"Конкурсная группа исключена";1348931;"02.07.2026 в 11:27"
37;2;"—";274;"95 96 83";0;"Участвуете в конкурсе";1437122;"01.07.2026 в 21:25"
38;2;"—";274;"90 98 86";0;"Передано в вуз";1462125;"05.07.2026 в 13:44"
39;1;"—";274;"94 93 81";6;"Участвуете в конкурсе";1314987;"30.06.2026 в 12:01"
40;7;"—";273;"84 95 94";0;"Участвуете в конкурсе";1398817;"01.07.2026 в 13:08"
41;1;"Электронное";273;"100 90 83";0;"На рассмотрении";1485687;"02.07.2026 в 14:22"
42;3;"—";273;"94 98 81";0;"На рассмотрении";1619131;"04.07.2026 в 18:00"
43;2;"—";273;"98 80 94";1;"Передано в вуз";992347;"05.07.2026 в 14:19"
44;3;"—";273;"88 93 86";6;"Участвуете в конкурсе";1430542;"01.07.2026 в 18:58"
45;3;"—";272;"95 88 89";0;"На рассмотрении";1391829;"02.07.2026 в 18:09"
46;5;"—";272;"90 96 86";0;"На рассмотрении";1581005;"03.07.2026 в 20:53"
47;5;"—";272;"92 88 86";6;"Участвуете в конкурсе";1264504;"29.06.2026 в 21:49"
48;3;"—";272;"97 88 81";6;"Участвуете в конкурсе";1266219;"29.06.2026 в 21:51"
