"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;2;"—";307;"100 100 97";10;"Участвуете в конкурсе";1202354;"28.06.2026 в 17:22"
2;3;"—";297;"97 94 100";6;"Участвуете в конкурсе";1299719;"30.06.2026 в 09:08"
3;2;"—";292;"100 98 94";0;"На рассмотрении";1606787;"04.07.2026 в 13:21"
4;5;"—";291;"94 100 91";6;"Участвуете в конкурсе";1202180;"28.06.2026 в 17:18"
5;4;"—";290;"99 100 91";0;"На рассмотрении";1502041;"03.07.2026 в 19:26"
6;5;"—";289;"98 94 91";6;"Участвуете в конкурсе";986609;"23.06.2026 в 15:22"
7;3;"—";287;"92 98 97";0;"На рассмотрении";1534466;"03.07.2026 в 10:20"
8;5;"—";287;"95 96 86";10;"Участвуете в конкурсе";1141350;"26.06.2026 в 11:42"
9;1;"—";280;"97 96 81";6;"Участвуете в конкурсе";980560;"20.06.2026 в 19:06"
10;5;"—";278;"88 90 94";6;"Участвуете в конкурсе";1326404;"30.06.2026 в 13:56"
11;3;"—";277;"96 98 83";0;"Участвуете в конкурсе";1093386;"29.06.2026 в 21:38"
12;3;"—";276;"92 90 94";0;"Участвуете в конкурсе";1372686;"01.07.2026 в 08:10"
13;2;"—";276;"99 88 89";0;"На рассмотрении";1623299;"04.07.2026 в 20:29"
14;2;"—";275;"96 93 86";0;"На рассмотрении";1574054;"03.07.2026 в 18:50"
15;3;"—";274;"95 96 83";0;"Участвуете в конкурсе";1437122;"01.07.2026 в 21:25"
16;4;"—";273;"88 94 91";0;"Участвуете в конкурсе";1377778;"01.07.2026 в 09:46"
17;3;"—";273;"90 96 86";1;"На рассмотрении";1612199;"04.07.2026 в 15:04"
18;4;"—";272;"92 88 86";6;"Участвуете в конкурсе";1264504;"29.06.2026 в 21:49"
19;5;"—";272;"97 88 81";6;"Участвуете в конкурсе";1266219;"29.06.2026 в 21:51"
20;1;"—";272;"86 90 86";10;"Участвуете в конкурсе";1189850;"28.06.2026 в 12:23"
