"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;1;"—";301;"98 93 100";10;"Участвуете в конкурсе";1433580;"01.07.2026 в 19:53"
2;3;"—";296;"92 100 94";10;"Участвуете в конкурсе";1258231;"29.06.2026 в 21:40"
3;4;"—";295;"96 98 91";10;"Участвуете в конкурсе";1324026;"30.06.2026 в 13:31"
4;3;"—";294;"95 93 100";6;"Участвуете в конкурсе";1244814;"29.06.2026 в 21:23"
5;1;"—";294;"98 95 94";7;"Участвуете в конкурсе";1184355;"28.06.2026 в 08:34"
6;6;"—";294;"95 100 89";10;"Участвуете в конкурсе";1440074;"01.07.2026 в 21:55"
7;4;"—";293;"97 98 91";7;"На рассмотрении";1520302;"02.07.2026 в 23:24"
8;2;"—";292;"97 100 89";6;"Участвуете в конкурсе";1291412;"30.06.2026 в 00:14"
9;4;"—";292;"94 95 97";6;"На рассмотрении";1581196;"03.07.2026 в 20:58"
10;6;"—";291;"97 100 94";0;"Передано в вуз";1630066;"05.07.2026 в 08:57"
11;4;"—";291;"94 100 91";6;"Участвуете в конкурсе";1202180;"28.06.2026 в 17:18"
12;2;"—";290;"96 98 91";5;"На рассмотрении";1581283;"04.07.2026 в 09:50"
13;3;"—";290;"96 90 97";7;"Участвуете в конкурсе";1399916;"01.07.2026 в 13:35"
14;1;"—";289;"95 100 94";0;"Конкурсная группа исключена";1420208;"01.07.2026 в 16:28"
15;3;"—";289;"92 100 97";0;"На рассмотрении";1521418;"03.07.2026 в 00:10"
16;4;"—";289;"96 95 97";1;"На рассмотрении";1573815;"03.07.2026 в 18:49"
17;2;"—";288;"94 90 94";10;"Участвуете в конкурсе";1250632;"29.06.2026 в 21:30"
18;5;"—";287;"92 95 94";6;"Участвуете в конкурсе";1430310;"01.07.2026 в 18:54"
19;4;"—";287;"98 90 89";10;"Участвуете в конкурсе";1196329;"28.06.2026 в 14:59"
20;3;"—";287;"100 83 94";10;"Участвуете в конкурсе";1201283;"28.06.2026 в 16:55"
21;2;"—";286;"95 94 91";6;"Участвуете в конкурсе";1198292;"28.06.2026 в 15:44"
22;3;"—";284;"97 98 89";0;"На рассмотрении";1431898;"03.07.2026 в 20:16"
23;2;"—";283;"97 100 86";0;"На рассмотрении";1197315;"04.07.2026 в 12:29"
24;5;"—";283;"94 98 91";0;"Участвуете в конкурсе";1350760;"30.06.2026 в 18:20"
25;1;"—";283;"97 100 86";0;"На рассмотрении";1503011;"02.07.2026 в 18:13"
26;2;"—";283;"96 96 91";0;"На рассмотрении";1507944;"02.07.2026 в 18:49"
27;5;"—";283;"94 100 83";6;"На рассмотрении";1342374;"02.07.2026 в 18:09"
28;6;"—";283;"100 85 91";7;"На рассмотрении";1267657;"29.06.2026 в 21:53"
29;4;"—";282;"90 98 94";0;"Участвуете в конкурсе";1409211;"01.07.2026 в 14:41"
30;3;"—";282;"86 98 91";7;"На рассмотрении";1345355;"04.07.2026 в 16:32"
31;6;"—";282;"96 95 83";8;"Участвуете в конкурсе";1195073;"28.06.2026 в 14:29"
32;2;"—";282;"88 93 91";10;"Участвуете в конкурсе";1249200;"29.06.2026 в 21:28"
33;5;"—";281;"92 98 91";0;"Участвуете в конкурсе";1350447;"30.06.2026 в 18:15"
34;2;"—";281;"97 95 89";0;"Участвуете в конкурсе";1438245;"01.07.2026 в 21:19"
