"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;1;"—";265;"Без вступительных испытаний";7;"Участвуете в конкурсе";1432378;"01.07.2026 в 19:31"
2;1;"Электронное";248;"Без вступительных испытаний";10;"Участвуете в конкурсе";943117;"20.06.2026 в 08:03"
3;1;"Электронное";225;"Без вступительных испытаний";10;"На рассмотрении";1266968;"29.06.2026 в 21:52"
4;1;"Электронное";216;"Без вступительных испытаний";6;"На рассмотрении";1431009;"04.07.2026 в 07:34"
5;1;"—";188;"Без вступительных испытаний";10;"Участвуете в конкурсе";1251680;"29.06.2026 в 21:31"
6;1;"—";296;"96 100 100";0;"На рассмотрении";1594361;"04.07.2026 в 10:07"
7;2;"—";296;"92 100 94";10;"Участвуете в конкурсе";1258231;"29.06.2026 в 21:40"
8;1;"—";295;"96 98 91";10;"На рассмотрении";1324026;"30.06.2026 в 13:31"
9;1;"—";294;"95 100 89";10;"Участвуете в конкурсе";1440074;"01.07.2026 в 21:55"
10;1;"—";293;"97 98 91";7;"На рассмотрении";1520302;"02.07.2026 в 23:24"
11;1;"—";292;"96 98 97";1;"На рассмотрении";1580750;"04.07.2026 в 18:06"
12;3;"—";292;"97 95 94";6;"Участвуете в конкурсе";975709;"20.06.2026 в 16:22"
13;2;"—";292;"94 95 97";6;"На рассмотрении";1581196;"03.07.2026 в 20:58"
14;1;"Электронное";291;"95 100 86";10;"Участвуете в конкурсе";1184243;"28.06.2026 в 08:23"
15;3;"—";290;"99 100 91";0;"На рассмотрении";1502041;"03.07.2026 в 19:26"
16;1;"—";290;"90 100 100";0;"На рассмотрении";1518293;"02.07.2026 в 22:26"
17;6;"—";290;"96 98 91";5;"На рассмотрении";1581283;"04.07.2026 в 09:50"
18;1;"—";289;"97 95 97";0;"Участвуете в конкурсе";1186159;"28.06.2026 в 10:21"
19;3;"—";289;"95 100 94";0;"Конкурсная группа исключена";1420208;"01.07.2026 в 16:28"
20;1;"—";289;"92 100 97";0;"На рассмотрении";1521418;"03.07.2026 в 00:10"
21;1;"—";289;"96 95 97";1;"На рассмотрении";1573815;"03.07.2026 в 18:49"
22;1;"—";288;"100 93 86";9;"Участвуете в конкурсе";1256611;"29.06.2026 в 21:38"
23;1;"—";287;"92 98 97";0;"На рассмотрении";1534466;"03.07.2026 в 10:20"
24;3;"Электронное";287;"96 100 91";0;"На рассмотрении";1572093;"03.07.2026 в 18:41"
25;1;"Электронное";287;"96 96 89";6;"Участвуете в конкурсе";1253366;"29.06.2026 в 21:34"
26;3;"—";287;"92 95 94";6;"Участвуете в конкурсе";1430310;"01.07.2026 в 18:54"
27;1;"—";286;"95 94 91";6;"Участвуете в конкурсе";1198292;"28.06.2026 в 15:44"
28;3;"—";285;"99 96 89";1;"Участвуете в конкурсе";1352243;"01.07.2026 в 17:24"
29;1;"—";285;"95 95 94";1;"На рассмотрении";1355633;"02.07.2026 в 18:30"
30;1;"—";285;"96 88 94";7;"Участвуете в конкурсе";1361599;"30.06.2026 в 21:48"
